,precision,recall,f1-score,support
hand at rest,0.9433962264150944,0.9333333333333333,0.938337801608579,375.0
hand clenched in a fist,0.7796610169491526,0.8821917808219178,0.8277634961439588,365.0
wrist flexion,0.7146666666666667,0.7184986595174263,0.7165775401069518,373.0
wrist extension,0.7796143250688705,0.7467018469656992,0.7628032345013477,379.0
radial deviations,0.7945544554455446,0.8514588859416445,0.8220230473751601,377.0
ulnar deviations,0.7857142857142857,0.6675461741424802,0.7218259629101283,379.0
accuracy,0.7993772241992882,0.7993772241992882,0.7993772241992882,0.7993772241992882
macro avg,0.7996011627099358,0.7999551134537501,0.7982218471076877,2248.0
weighted avg,0.7997006654575419,0.7993772241992882,0.7979852886276869,2248.0
