,precision,recall,f1-score,support
Benign,0.6481481481481481,0.875,0.7446808510638298,40.0
Malignant,0.8076923076923077,0.525,0.6363636363636364,40.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7279202279202279,0.7,0.690522243713733,80.0
weighted avg,0.7279202279202279,0.7,0.690522243713733,80.0
